"","V161086","V161087","V161092","V161093","V161095","V161096","V161158x","V161267","V161270","V161310b","V161310c","V161310d","V161310e","V161310f","V161342","V161361x","V162031x","V162034a","V162078","V162079","V162171","V162239","V162240","V162241","V162242","V162333","V162334","V162335","V162336","V162337","V162338","V162339","V162340","V162341","V162342"
"3205",0,100,0,0,0,100,7,59,11,0,0,0,0,0,1,26,1,2,0,100,6,2,2,1,2,7,5,7,3,6,6,6,2,7,6
"3206",55,22,63,52,52,52,5,42,14,0,0,0,0,0,2,22,0,-1,40,15,5,-9,-9,-9,-9,2,4,6,2,7,6,4,2,6,2
"3207",2,70,1,2,2,61,7,60,10,0,0,0,0,0,2,15,0,-1,0,60,6,2,2,1,1,7,2,7,1,6,3,7,2,6,2
"3208",71,0,98,84,98,39,1,41,14,1,0,0,0,0,2,23,0,-1,98,1,2,2,2,1,1,4,1,7,1,5,4,6,1,7,1
"3209",5,65,40,70,25,85,7,34,13,0,0,0,0,0,1,27,1,2,10,40,6,2,1,2,2,6,5,6,3,6,2,3,1,5,2
"3210",1,0,100,85,60,0,1,55,14,1,0,0,0,0,2,-9,1,1,100,0,3,2,2,1,2,4,4,6,4,6,4,6,2,4,2
"3211",2,60,1,52,0,60,7,72,14,0,0,0,0,0,2,21,1,2,0,70,6,2,2,1,2,5,2,7,4,4,5,5,1,5,6
"3212",70,1,70,50,60,30,3,58,13,0,0,0,0,0,1,23,1,1,70,15,4,2,2,1,1,3,4,5,3,5,5,5,3,7,4
"3213",100,0,100,100,100,0,1,54,13,0,0,1,0,0,2,15,1,1,100,0,2,2,2,1,1,5,3,6,1,5,6,7,1,5,6
"3214",52,2,51,50,51,51,2,37,15,0,0,1,0,0,2,17,-1,-1,70,17,4,2,2,1,2,4,1,5,4,4,2,5,1,5,4
